trait,location_year,location,pearson,spearman,ndcg_at_10,n_test_genotypes,iteration,fold,seed,cv_scheme,train_location
DTF,AUS_2018,AUS,0.228117067617446,0.256547339698817,0.862315998391489,92,6,2,1006,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.235539251122088,0.229954176552514,0.905819663480172,41,6,2,1006,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.175710568209512,0.210795573431819,0.653603494484098,103,6,3,1006,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.147614067804283,0.307926865097339,0.887688596024524,55,6,3,1006,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.341255660982883,0.289638699021866,0.832666255957886,100,6,4,1006,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.232662995647758,0.264720593783886,0.840484426084123,51,6,4,1006,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.334030965324965,0.275181327386407,0.836767051898138,99,6,5,1006,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.502060310555518,0.457971860693408,0.93949655255824,35,6,5,1006,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.207856415052078,0.165753371989023,0.893945817654186,96,7,1,1007,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.0521669091200565,0.128700373420071,0.884460975129361,40,7,1,1007,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.316096293786372,0.306185853126653,0.784989924676776,102,7,2,1007,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.225351339527729,0.314760066808547,0.887857387725943,42,7,2,1007,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.375185954777225,0.422851785780222,0.881508347994198,102,7,3,1007,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.232765074196569,0.322484693652502,0.899246797414211,52,7,3,1007,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.161622623488506,0.156517642930561,0.668302615772202,96,7,4,1007,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.343120235523721,0.261911476964696,0.882188022927403,57,7,4,1007,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.172462177673899,0.147665614958546,0.678549397743886,98,7,5,1007,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.190750626828721,0.0985865636618644,0.89440041503464,45,7,5,1007,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.205280751848868,0.197425503632934,0.7075517106976,100,8,1,1008,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.281892175380189,0.427513798101455,0.935419647206693,51,8,1,1008,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.257151551241271,0.185672617051207,0.675119487812394,93,8,2,1008,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.37959700999546,0.293898942834424,0.814705361212906,44,8,2,1008,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.228773461523541,0.34269912620401,0.775916433351719,103,8,3,1008,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.103694107752965,0.18702518963315,0.792739548497913,43,8,3,1008,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.302689893871421,0.236472548727582,0.875824486556114,97,8,4,1008,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.286946443083843,0.264187333644896,0.905825020997603,57,8,4,1008,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.295142242792702,0.27363677125032,0.801072785561947,101,8,5,1008,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.0355881225530168,0.117921454090646,0.809328363779479,41,8,5,1008,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.107147142481172,0.118398881237272,0.827011831207978,97,9,1,1009,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.120898969508589,0.112565261784834,0.825039385365198,48,9,1,1009,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.353139528427134,0.344303359714765,0.822573213079265,104,9,2,1009,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.210902951596864,0.256205035569448,0.793456835084644,43,9,2,1009,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.263664510325544,0.290504696924212,0.876061421388995,96,9,3,1009,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.295990778385706,0.373692222138121,0.93412065807998,50,9,3,1009,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.142340456171738,0.124839154172907,0.69797492814883,100,9,4,1009,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.27694658671697,0.241199154972717,0.892390899367119,46,9,4,1009,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.441977017858633,0.411781740581214,0.788736559650679,97,9,5,1009,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.286415663239125,0.377409365764741,0.860229983664329,49,9,5,1009,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.185949523713428,0.104551498496334,0.698427290929834,101,10,1,1010,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.0935042446243219,0.184506473924758,0.774390237768065,42,10,1,1010,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.306008487200571,0.300566630717639,0.759136990280223,99,10,2,1010,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.043881674474656,0.114664092918752,0.725752766898607,45,10,2,1010,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.281777730970495,0.299105430436692,0.810679018567933,104,10,3,1010,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.145347808968624,0.257187692196122,0.834238766379367,46,10,3,1010,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.254554660962156,0.300351061716542,0.831771284317234,95,10,4,1010,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.4481787666733,0.295273145215028,0.809504626122363,49,10,4,1010,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.288230058860961,0.23237687202795,0.829941944918709,95,10,5,1010,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.271540137862867,0.408848820594863,0.969068436412872,54,10,5,1010,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.254644950233929,0.224733692172157,0.644385711713858,95,11,1,1011,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.323197746984859,0.173748573516984,0.851444973570369,58,11,1,1011,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.28903690932222,0.215647957213931,0.845666797094534,106,11,2,1011,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.180708737835591,0.192288497979796,0.824356474029026,51,11,2,1011,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.15339422105499,0.188263378568682,0.751220984235643,99,11,3,1011,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.228992775060375,0.345600077015297,0.832880029070566,42,11,3,1011,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.224775394276415,0.231561289034734,0.784665589682524,94,11,4,1011,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.0908042039543251,0.110962906566302,0.802202603632592,44,11,4,1011,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.389895917623484,0.385875033302533,0.863561032912944,100,11,5,1011,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.278159530496574,0.336300137389078,0.867831009212263,41,11,5,1011,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.230890255688668,0.234267048812793,0.754384984072291,101,12,1,1012,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.376267600704513,0.297971040430161,0.91152920751064,45,12,1,1012,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.210492743514419,0.188099506105833,0.817686953261922,96,12,2,1012,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.0161232840671462,0.132822997798131,0.89410280731008,52,12,2,1012,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.317895404672406,0.31769113467513,0.829874082020764,96,12,3,1012,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.0776888820522406,0.145258350836788,0.714800151363737,48,12,3,1012,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.327918312263458,0.310026866566949,0.721136590515163,99,12,4,1012,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.0118936308155498,0.0625444888040755,0.833612791266217,47,12,4,1012,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.149378089775913,0.110166125680124,0.65201816867838,102,12,5,1012,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.597183983071146,0.461729520722807,0.885879786876364,44,12,5,1012,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.241632282731909,0.225008347085699,0.778469002306578,98,13,1,1013,CV1_AUS,AUS
