trait,location_year,location,pearson,spearman,ndcg_at_10,n_test_genotypes,iteration,fold,seed,cv_scheme,model
DTF,AUS_2018,AUS,0.225683226,0.319716991,0.870246288,101,3,3,1003,CV1,GBLUP
DTF,AUS_2019,AUS,0.10582642,0.181289263,0.915109003,40,3,3,1003,CV1,GBLUP
DTF,PAK_2019,PAK,0.160727381,-0.164232436,0.783616206,54,3,3,1003,CV1,GBLUP
DTF,PAK_2020,PAK,0.337332445,0.36110976,0.87710482,62,3,3,1003,CV1,GBLUP
DTF,PAK_2021,PAK,0.548243294,0.527691381,0.789056028,57,3,3,1003,CV1,GBLUP
DTF,AUS_2018,AUS,0.19599877,0.165169784,0.692088872,100,3,4,1003,CV1,GBLUP
DTF,AUS_2019,AUS,0.164678045,0.150442373,0.707334512,57,3,4,1003,CV1,GBLUP
DTF,PAK_2019,PAK,-0.201474699,-0.25156472,0.855702171,41,3,4,1003,CV1,GBLUP
DTF,PAK_2020,PAK,0.395282651,0.421968242,0.828808482,49,3,4,1003,CV1,GBLUP
DTF,PAK_2021,PAK,0.303763999,0.344099991,0.773166789,46,3,4,1003,CV1,GBLUP
DTF,AUS_2018,AUS,0.199829571,0.233674549,0.695081298,97,3,5,1003,CV1,GBLUP
DTF,AUS_2019,AUS,0.259882087,0.222785665,0.936268487,45,3,5,1003,CV1,GBLUP
DTF,PAK_2019,PAK,0.087100202,0.162296085,0.647516224,44,3,5,1003,CV1,GBLUP
DTF,PAK_2020,PAK,0.24128614,0.168978571,0.743856284,49,3,5,1003,CV1,GBLUP
DTF,PAK_2021,PAK,0.45743034,0.46625369,0.897290097,45,3,5,1003,CV1,GBLUP
DTF,AUS_2018,AUS,0.286006821,0.25298022,0.803308881,99,4,1,1004,CV1,GBLUP
DTF,AUS_2019,AUS,0.168185957,0.214319657,0.813507476,50,4,1,1004,CV1,GBLUP
DTF,PAK_2019,PAK,0.017129252,-0.136079942,0.858721533,39,4,1,1004,CV1,GBLUP
DTF,PAK_2020,PAK,0.323635677,0.303746228,0.833847391,57,4,1,1004,CV1,GBLUP
DTF,PAK_2021,PAK,0.24913848,0.221630776,0.637201734,47,4,1,1004,CV1,GBLUP
DTF,AUS_2018,AUS,0.337986485,0.283047752,0.909012463,97,4,2,1004,CV1,GBLUP
DTF,AUS_2019,AUS,0.259810282,0.368787312,0.950610829,53,4,2,1004,CV1,GBLUP
DTF,PAK_2019,PAK,0.173844552,0.304416466,0.595788891,47,4,2,1004,CV1,GBLUP
DTF,PAK_2020,PAK,0.428780094,0.214526198,0.816542416,50,4,2,1004,CV1,GBLUP
DTF,PAK_2021,PAK,0.479202435,0.322555204,0.764462518,45,4,2,1004,CV1,GBLUP
DTF,AUS_2018,AUS,0.272505527,0.326428216,0.764878487,101,4,3,1004,CV1,GBLUP
DTF,AUS_2019,AUS,0.196606526,0.287191662,0.842718619,44,4,3,1004,CV1,GBLUP
DTF,PAK_2019,PAK,-0.029616796,-0.085647927,0.642226501,41,4,3,1004,CV1,GBLUP
DTF,PAK_2020,PAK,0.20726916,0.241849087,0.665805355,47,4,3,1004,CV1,GBLUP
DTF,PAK_2021,PAK,0.373250954,0.413501115,0.776943796,48,4,3,1004,CV1,GBLUP
DTF,AUS_2018,AUS,0.225249673,0.349422318,0.82090288,97,4,4,1004,CV1,GBLUP
DTF,AUS_2019,AUS,-0.103765114,-0.018756185,0.695511873,50,4,4,1004,CV1,GBLUP
DTF,PAK_2019,PAK,0.082293138,0.013225734,0.840105411,52,4,4,1004,CV1,GBLUP
DTF,PAK_2020,PAK,0.40345755,0.35111272,0.796354967,60,4,4,1004,CV1,GBLUP
DTF,PAK_2021,PAK,0.381593894,0.431488465,0.804107747,54,4,4,1004,CV1,GBLUP
DTF,AUS_2018,AUS,0.175182192,0.161555903,0.733935665,100,4,5,1004,CV1,GBLUP
DTF,AUS_2019,AUS,0.413107439,0.394955546,0.926098869,39,4,5,1004,CV1,GBLUP
DTF,PAK_2019,PAK,-0.013727799,-0.019811578,0.789978795,42,4,5,1004,CV1,GBLUP
DTF,PAK_2020,PAK,0.221171981,0.253840332,0.764434948,53,4,5,1004,CV1,GBLUP
DTF,PAK_2021,PAK,0.368779599,0.411571182,0.846477634,50,4,5,1004,CV1,GBLUP
DTF,AUS_2018,AUS,0.28518498,0.251174268,0.687569542,104,5,1,1005,CV1,GBLUP
DTF,AUS_2019,AUS,0.11368507,0.245668965,0.872393475,49,5,1,1005,CV1,GBLUP
DTF,PAK_2019,PAK,0.158421774,0.109463928,0.786735237,41,5,1,1005,CV1,GBLUP
DTF,PAK_2020,PAK,0.373137486,0.412932994,0.736704429,53,5,1,1005,CV1,GBLUP
DTF,PAK_2021,PAK,0.233593325,0.256706018,0.726923333,45,5,1,1005,CV1,GBLUP
DTF,AUS_2018,AUS,0.166381413,0.196142397,0.707907403,98,5,2,1005,CV1,GBLUP
DTF,AUS_2019,AUS,0.188500132,0.19789399,0.924964873,52,5,2,1005,CV1,GBLUP
DTF,PAK_2019,PAK,0.13341662,0.016896944,0.574861337,50,5,2,1005,CV1,GBLUP
DTF,PAK_2020,PAK,0.31168121,0.161842549,0.83126267,54,5,2,1005,CV1,GBLUP
DTF,PAK_2021,PAK,0.355413607,0.330250776,0.819743715,54,5,2,1005,CV1,GBLUP
DTF,AUS_2018,AUS,0.364103015,0.342625023,0.813620468,100,5,3,1005,CV1,GBLUP
DTF,AUS_2019,AUS,0.201998252,0.217444526,0.765508587,48,5,3,1005,CV1,GBLUP
DTF,PAK_2019,PAK,0.02184405,-0.028994636,0.866580113,38,5,3,1005,CV1,GBLUP
DTF,PAK_2020,PAK,0.355341286,0.299396076,0.776455874,47,5,3,1005,CV1,GBLUP
DTF,PAK_2021,PAK,0.605380005,0.714230217,0.881810028,41,5,3,1005,CV1,GBLUP
DTF,AUS_2018,AUS,0.284874351,0.359485208,0.900174916,96,5,4,1005,CV1,GBLUP
DTF,AUS_2019,AUS,0.292592842,0.353040129,0.936694693,41,5,4,1005,CV1,GBLUP
DTF,PAK_2019,PAK,0.127299355,0.156403388,0.94027788,41,5,4,1005,CV1,GBLUP
